City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Palasa,IN,77.86,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
619,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
620,Padang,ID,76.93,overcast clouds,-0.9492,100.3543,Mercure Padang
621,Tomatlan,MX,86.99,clear sky,19.9333,-105.25,El Salvial
622,Samarai,PG,80.96,broken clouds,-10.6167,150.6667,Nuli Sapi
626,Sabang,ID,78.78,light rain,5.8933,95.3214,Hotel Citra
630,Lat Yao,TH,75.22,overcast clouds,15.751,99.7893,โรงแรมสอระ
631,Letlhakane,BW,76.93,clear sky,-21.4167,25.5833,Motswedi Hotel
639,Phan Thiet,VN,77.38,overcast clouds,10.9333,108.1,Hotel Saigon-PT
643,Butler,US,77.9,clear sky,39.4501,-84.5666,The Lodge Activity Center
647,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
656,Anton Lizardo,MX,80.82,few clouds,19.05,-95.9833,Hotel CocoAventura
658,Nizwa,OM,80.44,clear sky,22.9333,57.5333,Orient Apartments
660,Edd,ER,88.52,scattered clouds,13.9297,41.6925,
676,Nogales,MX,77.32,few clouds,31.3086,-110.9422,Siesta Motel
677,Kanganpur,PK,76.5,clear sky,30.7663,74.1231,Bismillah Hotel
679,Biak,ID,75.63,overcast clouds,-0.9131,122.8766,Penginapan Kim
