City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Chuy,UY,-33.6971,-53.4616,63.72,67,90,13.53,overcast clouds
184,Svarstad,NO,59.399,9.9698,58.95,57,100,3.0,light rain
185,Lompoc,US,34.6391,-120.4579,88.02,100,20,3.44,few clouds
186,Torbay,CA,47.6666,-52.7314,63.88,49,20,14.97,few clouds
187,Grindavik,IS,63.8424,-22.4338,45.07,76,75,8.05,broken clouds
188,New Norfolk,AU,-42.7826,147.0587,47.91,69,100,5.01,overcast clouds
189,Roald,NO,62.5833,6.1333,52.16,81,20,21.85,light rain
190,Pemangkat,ID,1.1667,108.9667,76.8,88,100,3.36,overcast clouds
191,Floro,NO,61.5996,5.0328,51.76,82,75,17.27,broken clouds
192,Ilebo,CD,-4.3167,20.5833,74.35,80,100,2.59,light rain
193,Salalah,OM,17.0151,54.0924,78.89,83,20,3.44,few clouds
194,Marystown,CA,47.1666,-55.1483,55.26,69,5,8.41,clear sky
195,Dickinson,US,29.4608,-95.0513,89.08,46,20,8.05,few clouds
196,Rio Gallegos,AR,-51.6226,-69.2181,59.05,31,40,5.75,scattered clouds
197,Puerto Colombia,CO,10.9878,-74.9547,84.29,67,74,2.15,broken clouds
198,Fenoarivo,MG,-18.933,47.4354,57.27,82,20,6.91,few clouds
199,Portland,US,45.5234,-122.6762,70.0,79,100,6.91,overcast clouds
200,Luan,CH,46.3592,6.9759,55.04,69,0,3.42,clear sky
201,Trairi,BR,-3.2778,-39.2689,82.85,65,31,15.84,scattered clouds
202,Danville,US,36.586,-79.395,74.05,49,0,6.91,clear sky
203,Rocky Mountain House,CA,52.3668,-114.9188,59.11,47,21,9.22,few clouds
204,Gravdal,NO,68.1214,13.5031,48.43,76,100,21.5,overcast clouds
205,Mayskiy,RU,47.6931,40.1025,53.01,66,23,6.06,few clouds
206,Wattegama,LK,6.7989,81.4808,74.64,86,100,4.59,overcast clouds
207,Elko,US,41.0002,-115.5012,73.63,22,0,5.99,clear sky
208,Pingzhuang,CN,42.0372,119.2889,38.26,28,100,3.18,overcast clouds
209,Cabras,IT,39.93,8.5314,67.95,70,11,4.76,few clouds
210,Turayf,SA,31.6725,38.6637,79.05,31,0,9.22,clear sky
211,Ancud,CL,-41.8697,-73.8203,48.42,92,100,25.64,moderate rain
212,Pisco,PE,-13.7,-76.2167,66.25,63,0,8.05,clear sky
213,Kursenai,LT,55.985,22.9189,52.05,87,100,9.51,overcast clouds
214,Poum,NC,-20.2333,164.0167,72.64,65,47,11.14,scattered clouds
215,Hovd,MN,48.0056,91.6419,36.23,34,44,4.83,scattered clouds
216,Marawi,PH,7.9986,124.2928,68.47,91,100,0.47,overcast clouds
217,Lexington,US,37.9887,-84.4777,75.2,21,0,8.05,clear sky
218,Puerto Montt,CL,-41.4698,-72.9447,54.43,66,100,12.66,overcast clouds
219,Yaguajay,CU,22.3272,-79.2378,83.53,60,10,7.72,clear sky
220,Baghdad,IQ,33.3406,44.4009,92.01,11,0,4.94,clear sky
221,Kungurtug,RU,50.5994,97.5228,29.7,43,100,2.3,overcast clouds
222,Luganville,VU,-15.5333,167.1667,77.94,84,100,11.77,overcast clouds
223,Srednekolymsk,RU,67.45,153.6833,20.53,88,100,23.2,light snow
224,Chokurdakh,RU,70.6333,147.9167,16.18,97,96,5.61,overcast clouds
225,Thinadhoo,MV,0.5333,72.9333,81.93,76,100,17.11,overcast clouds
226,Dikson,RU,73.5069,80.5464,30.49,76,92,6.55,overcast clouds
227,Nevel,RU,56.0209,29.9284,49.37,97,100,7.27,overcast clouds
228,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
229,Codrington,AU,-38.2667,141.9667,54.86,93,100,11.27,overcast clouds
230,Port Lincoln,AU,-34.7333,135.8667,54.03,91,3,7.94,clear sky
231,Adamas,GR,36.7333,24.4333,69.37,54,0,30.49,clear sky
232,Curuguaty,PY,-24.4694,-55.6945,74.23,83,40,7.87,scattered clouds
233,San Quintin,MX,30.4833,-115.95,72.91,72,13,8.79,few clouds
234,Ulladulla,AU,-35.35,150.4667,56.3,94,100,14.16,light rain
